feature,mean_abs_shap,mean_shap,is_policy,direction
SC155Q11HA,0.0032265675,-0.00064690167,False,reduces_slope
SC182Q07JA02,0.0032107122,-0.00016556571,False,reduces_slope
SC223Q07JA,0.0028762324,3.8509337e-05,False,increases_slope
SC222Q01JA,0.002809983,-0.00075636245,False,reduces_slope
SC192Q05JA,0.0027968143,-0.00064652343,False,reduces_slope
SC155Q10HA,0.002757317,-0.0006512212,False,reduces_slope
SC173Q03JA,0.0026680282,-0.0009668115,False,reduces_slope
SC216Q04JA,0.0025751335,0.000501835,False,increases_slope
SC190Q08JA,0.0024878886,2.309283e-05,False,increases_slope
SC061Q08TA,0.0021424142,6.8744775e-05,False,increases_slope
SC035Q05TB,0.0019118305,0.00045795887,False,increases_slope
SC208Q03JA,0.0017769281,0.00044614362,False,increases_slope
SC189Q04WA,0.0017138186,0.00015495764,False,increases_slope
SC182Q10JA01,0.0017053632,0.000329178,False,increases_slope
SC215Q08JA,0.0013007236,-0.0001599379,False,reduces_slope
SC200Q03JA,0.0010790057,-0.00022029928,False,reduces_slope
SC202Q08JA,0.001023413,0.0002682519,False,increases_slope
SC035Q06TA,0.0,0.0,False,reduces_slope
SC035Q07TA,0.0,0.0,False,reduces_slope
SC053Q08TA,0.0,0.0,False,reduces_slope
SC035Q11NB,0.0,0.0,False,reduces_slope
SC035Q02TA,0.0,0.0,False,reduces_slope
SC035Q02TB,0.0,0.0,False,reduces_slope
SC192Q04JA,0.0,0.0,False,reduces_slope
SC035Q01NB,0.0,0.0,False,reduces_slope
SC198Q03JA,0.0,0.0,False,reduces_slope
SC037Q03TA,0.0,0.0,False,reduces_slope
SC207Q05JA,0.0,0.0,False,reduces_slope
SC027Q04NA,0.0,0.0,False,reduces_slope
SC205Q03JA,0.0,0.0,False,reduces_slope
SC193Q07WA,0.0,0.0,False,reduces_slope
SC189Q02WA,0.0,0.0,False,reduces_slope
SC061Q04TA,0.0,0.0,False,reduces_slope
SC035Q08TB,0.0,0.0,False,reduces_slope
SC053Q10TA,0.0,0.0,False,reduces_slope
SC208Q05JA,0.0,0.0,False,reduces_slope
SC215Q05JA,0.0,0.0,False,reduces_slope
SC182Q08JA01,0.0,0.0,False,reduces_slope
SC215Q07JA,0.0,0.0,False,reduces_slope
