CNT,SCHOOLID,SCHTYPE,SCHSIZE,STRATIO,COUNTRY_AVG_GAP,TRAJECTORY,EQUITY_RISK_SCORE
ALB,800168.0,3.0,537.0,,52.4,Closing,11.4
ALB,800169.0,1.0,455.0,,52.4,Closing,9.5
ALB,800170.0,3.0,221.0,,52.4,Closing,29.2
ALB,800172.0,1.0,439.0,,52.4,Closing,9.5
ALB,800173.0,3.0,92.0,,52.4,Closing,9.5
ALB,800174.0,3.0,662.0,,52.4,Closing,27.0
ALB,800175.0,1.0,162.0,,52.4,Closing,9.5
ALB,800176.0,3.0,502.0,,52.4,Closing,22.9
ALB,800177.0,3.0,107.0,,52.4,Closing,12.0
ALB,800178.0,3.0,99999999.0,,52.4,Closing,19.8
ALB,800179.0,3.0,220.0,,52.4,Closing,19.8
ALB,800180.0,3.0,1137.0,,52.4,Closing,20.4
ALB,800183.0,3.0,95.0,,52.4,Closing,9.5
ALB,800184.0,3.0,705.0,,52.4,Closing,9.5
ALB,800185.0,1.0,99999999.0,,52.4,Closing,21.0
ALB,800186.0,3.0,318.0,,52.4,Closing,27.0
ALB,800187.0,3.0,715.0,,52.4,Closing,9.5
ALB,800188.0,3.0,857.0,,52.4,Closing,15.5
ALB,800189.0,3.0,498.0,,52.4,Closing,11.4
ALB,800190.0,3.0,572.0,,52.4,Closing,19.8
ALB,800191.0,3.0,479.0,,52.4,Closing,21.6
ALB,800192.0,3.0,1058.0,,52.4,Closing,16.1
ALB,800193.0,3.0,317.0,,52.4,Closing,16.7
ALB,800194.0,3.0,101.0,,52.4,Closing,16.1
ALB,800195.0,3.0,647.0,,52.4,Closing,15.5
ALB,800196.0,3.0,99999999.0,,52.4,Closing,21.0
ALB,800197.0,3.0,1306.0,,52.4,Closing,16.7
ALB,800198.0,3.0,965.0,,52.4,Closing,10.7
ALB,800199.0,3.0,314.0,,52.4,Closing,9.5
ALB,800200.0,3.0,414.0,,52.4,Closing,9.5
ALB,800201.0,3.0,802.0,,52.4,Closing,15.5
ALB,800202.0,1.0,371.0,,52.4,Closing,9.5
ALB,800203.0,1.0,463.0,,52.4,Closing,20.4
ALB,800204.0,1.0,433.0,,52.4,Closing,23.9
ALB,800205.0,3.0,358.0,,52.4,Closing,10.7
ALB,800206.0,3.0,308.0,,52.4,Closing,9.5
ALB,800208.0,3.0,356.0,,52.4,Closing,15.5
ALB,800209.0,3.0,612.0,,52.4,Closing,9.5
ALB,800210.0,3.0,126.0,,52.4,Closing,24.5
ALB,800211.0,3.0,,,52.4,Closing,9.5
ALB,800212.0,3.0,623.0,,52.4,Closing,12.0
ALB,800213.0,3.0,252.0,,52.4,Closing,10.7
ALB,800214.0,1.0,227.0,,52.4,Closing,9.5
ALB,800215.0,3.0,303.0,,52.4,Closing,9.5
ALB,800216.0,3.0,53.0,,52.4,Closing,9.5
ALB,800217.0,3.0,222.0,,52.4,Closing,20.8
ALB,800218.0,3.0,94.0,,52.4,Closing,9.5
ALB,800219.0,3.0,55.0,,52.4,Closing,9.5
ALB,800222.0,3.0,311.0,,52.4,Closing,16.7
ALB,800223.0,3.0,143.0,,52.4,Closing,23.3
ALB,800224.0,3.0,106.0,,52.4,Closing,10.7
ALB,800225.0,3.0,144.0,,52.4,Closing,10.1
ALB,800227.0,3.0,1282.0,,52.4,Closing,12.6
ALB,800228.0,3.0,224.0,,52.4,Closing,9.5
ALB,800229.0,3.0,574.0,,52.4,Closing,27.0
ALB,800230.0,1.0,143.0,,52.4,Closing,28.8
ALB,800231.0,3.0,553.0,,52.4,Closing,16.7
ALB,800232.0,3.0,516.0,,52.4,Closing,12.0
ALB,800233.0,3.0,490.0,,52.4,Closing,15.5
ALB,800234.0,3.0,190.0,,52.4,Closing,24.5
ALB,800235.0,3.0,128.0,,52.4,Closing,14.2
ALB,800236.0,3.0,501.0,,52.4,Closing,9.5
ALB,800238.0,3.0,274.0,,52.4,Closing,10.7
ALB,800239.0,3.0,100.0,,52.4,Closing,9.5
ALB,800240.0,3.0,529.0,,52.4,Closing,14.4
ALB,800241.0,3.0,424.0,,52.4,Closing,27.0
ALB,800242.0,3.0,331.0,,52.4,Closing,19.8
ALB,800243.0,3.0,588.0,,52.4,Closing,11.4
ALB,800244.0,3.0,471.0,,52.4,Closing,16.1
ALB,800245.0,3.0,139.0,,52.4,Closing,11.4
ALB,800246.0,3.0,259.0,,52.4,Closing,10.7
ALB,800247.0,3.0,341.0,,52.4,Closing,11.4
ALB,800248.0,3.0,116.0,,52.4,Closing,10.7
ALB,800249.0,3.0,27.0,,52.4,Closing,20.2
ALB,800251.0,3.0,99999999.0,,52.4,Closing,11.4
ALB,800252.0,3.0,102.0,,52.4,Closing,11.4
ALB,800253.0,3.0,441.0,,52.4,Closing,16.1
ALB,800254.0,3.0,1555.0,,52.4,Closing,28.2
ALB,800255.0,3.0,1517.0,,52.4,Closing,10.7
ALB,800256.0,3.0,659.0,,52.4,Closing,20.4
ALB,800257.0,1.0,427.0,,52.4,Closing,9.5
ALB,800259.0,3.0,117.0,,52.4,Closing,10.7
ALB,800261.0,3.0,99999999.0,,52.4,Closing,24.7
ALB,800262.0,3.0,291.0,,52.4,Closing,23.9
ALB,800263.0,3.0,675.0,,52.4,Closing,25.1
ALB,800264.0,3.0,381.0,,52.4,Closing,9.5
ALB,800265.0,3.0,303.0,,52.4,Closing,22.2
ALB,800266.0,3.0,447.0,,52.4,Closing,17.3
ALB,800267.0,1.0,396.0,,52.4,Closing,10.1
ALB,800268.0,3.0,979.0,,52.4,Closing,28.6
ALB,800269.0,3.0,114.0,,52.4,Closing,19.8
ALB,800270.0,3.0,83.0,,52.4,Closing,9.5
ALB,800271.0,1.0,81.0,,52.4,Closing,9.5
ALB,800272.0,3.0,1115.0,,52.4,Closing,9.5
ALB,800273.0,1.0,148.0,,52.4,Closing,10.1
ALB,800274.0,3.0,235.0,,52.4,Closing,19.8
ALB,800275.0,3.0,113.0,,52.4,Closing,10.7
ALB,800276.0,3.0,1000.0,,52.4,Closing,14.2
ALB,800277.0,3.0,95.0,,52.4,Closing,9.5
ALB,800278.0,3.0,567.0,,52.4,Closing,22.2
ALB,800279.0,3.0,244.0,,52.4,Closing,12.0
ALB,800280.0,3.0,392.0,,52.4,Closing,10.1
ALB,800281.0,3.0,897.0,,52.4,Closing,14.2
ALB,800282.0,3.0,421.0,,52.4,Closing,14.8
ALB,800283.0,3.0,161.0,,52.4,Closing,20.4
ALB,800284.0,3.0,294.0,,52.4,Closing,21.0
ALB,800285.0,3.0,606.0,,52.4,Closing,11.4
ALB,800286.0,3.0,300.0,,52.4,Closing,14.8
ALB,800287.0,3.0,99999999.0,,52.4,Closing,9.5
ALB,800288.0,3.0,73.0,,52.4,Closing,21.0
ALB,800290.0,3.0,61.0,,52.4,Closing,15.5
ALB,800291.0,3.0,1096.0,,52.4,Closing,21.0
ALB,800293.0,3.0,463.0,,52.4,Closing,21.0
ALB,800294.0,3.0,410.0,,52.4,Closing,9.5
ALB,800295.0,3.0,716.0,,52.4,Closing,15.5
ALB,800296.0,3.0,297.0,,52.4,Closing,20.4
QAZ,3100001.0,3.0,1322.0,,54.7,Stable,26.7
QAZ,3100002.0,3.0,1339.0,,54.7,Stable,32.2
QAZ,3100003.0,3.0,1989.0,,54.7,Stable,21.3
QAZ,3100004.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100005.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100006.0,3.0,2318.0,,54.7,Stable,41.0
QAZ,3100007.0,3.0,2899.0,,54.7,Stable,37.6
QAZ,3100008.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100009.0,3.0,920.0,,54.7,Stable,41.7
QAZ,3100010.0,3.0,99999999.0,,54.7,Stable,31.0
QAZ,3100011.0,3.0,1551.0,,54.7,Stable,31.6
QAZ,3100012.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100013.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100014.0,3.0,2889.0,,54.7,Stable,33.5
QAZ,3100015.0,3.0,99999999.0,,54.7,Stable,41.3
QAZ,3100016.0,3.0,1317.0,,54.7,Stable,31.0
QAZ,3100017.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100018.0,3.0,1069.0,,54.7,Stable,23.8
QAZ,3100019.0,3.0,1817.0,,54.7,Stable,31.0
QAZ,3100020.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100021.0,3.0,3069.0,,54.7,Stable,24.9
QAZ,3100022.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100023.0,3.0,1326.0,,54.7,Stable,21.3
QAZ,3100024.0,3.0,2362.0,,54.7,Stable,32.2
QAZ,3100025.0,3.0,2890.0,,54.7,Stable,26.0
QAZ,3100026.0,3.0,4013.0,,54.7,Stable,24.9
QAZ,3100027.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100028.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100029.0,3.0,99999999.0,,54.7,Stable,32.2
QAZ,3100030.0,3.0,1514.0,,54.7,Stable,32.2
QAZ,3100031.0,3.0,1127.0,,54.7,Stable,31.6
QAZ,3100032.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100033.0,3.0,2593.0,,54.7,Stable,22.4
QAZ,3100034.0,3.0,2023.0,,54.7,Stable,26.7
QAZ,3100035.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100036.0,3.0,1664.0,,54.7,Stable,38.2
QAZ,3100037.0,3.0,4089.0,,54.7,Stable,40.0
QAZ,3100038.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100039.0,3.0,2670.0,,54.7,Stable,41.7
QAZ,3100040.0,3.0,236.0,,54.7,Stable,23.2
QAZ,3100041.0,3.0,1044.0,,54.7,Stable,31.6
QAZ,3100042.0,3.0,1360.0,,54.7,Stable,24.9
QAZ,3100043.0,3.0,1220.0,,54.7,Stable,23.2
QAZ,3100044.0,3.0,1100.0,,54.7,Stable,32.8
QAZ,3100045.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100046.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100047.0,3.0,2881.0,,54.7,Stable,20.7
QAZ,3100048.0,3.0,2042.0,,54.7,Stable,27.3
QAZ,3100049.0,3.0,989.0,,54.7,Stable,24.9
QAZ,3100050.0,3.0,1154.0,,54.7,Stable,27.3
QAZ,3100051.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100052.0,3.0,1400.0,,54.7,Stable,44.1
QAZ,3100053.0,1.0,1825.0,,54.7,Stable,20.7
QAZ,3100054.0,3.0,2582.0,,54.7,Stable,20.7
QAZ,3100055.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100056.0,3.0,4618.0,,54.7,Stable,32.2
QAZ,3100057.0,3.0,3434.0,,54.7,Stable,36.3
QAZ,3100058.0,3.0,99999999.0,,54.7,Stable,21.9
QAZ,3100059.0,3.0,1148.0,,54.7,Stable,24.9
QAZ,3100060.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100061.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100062.0,3.0,2210.0,,54.7,Stable,23.8
QAZ,3100063.0,3.0,1489.0,,54.7,Stable,26.7
QAZ,3100064.0,3.0,2084.0,,54.7,Stable,20.7
QAZ,3100065.0,3.0,1604.0,,54.7,Stable,25.4
QAZ,3100066.0,3.0,1950.0,,54.7,Stable,26.7
QAZ,3100067.0,3.0,3467.0,,54.7,Stable,35.7
QAZ,3100068.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100069.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100070.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100071.0,3.0,1006.0,,54.7,Stable,32.2
QAZ,3100072.0,3.0,664.0,,54.7,Stable,28.5
QAZ,3100073.0,3.0,360.0,,54.7,Stable,31.0
QAZ,3100074.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100075.0,3.0,533.0,,54.7,Stable,32.8
QAZ,3100076.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100077.0,3.0,99999999.0,,54.7,Stable,21.3
QAZ,3100078.0,3.0,2752.0,,54.7,Stable,32.2
QAZ,3100079.0,3.0,2317.0,,54.7,Stable,26.0
QAZ,3100080.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100081.0,3.0,1930.0,,54.7,Stable,21.9
QAZ,3100082.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100083.0,3.0,1238.0,,54.7,Stable,26.0
QAZ,3100084.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100085.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100086.0,3.0,886.0,,54.7,Stable,24.9
QAZ,3100087.0,3.0,1884.0,,54.7,Stable,21.9
QAZ,3100088.0,3.0,976.0,,54.7,Stable,26.0
QAZ,3100089.0,3.0,1341.0,,54.7,Stable,34.7
QAZ,3100090.0,3.0,1578.0,,54.7,Stable,31.0
QAZ,3100091.0,3.0,1868.0,,54.7,Stable,24.9
QAZ,3100092.0,3.0,990.0,,54.7,Stable,31.0
QAZ,3100093.0,3.0,1985.0,,54.7,Stable,26.0
QAZ,3100094.0,3.0,1797.0,,54.7,Stable,35.5
QAZ,3100095.0,3.0,1251.0,,54.7,Stable,35.7
QAZ,3100096.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100097.0,3.0,2219.0,,54.7,Stable,34.1
QAZ,3100098.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100099.0,3.0,858.0,,54.7,Stable,27.3
QAZ,3100100.0,3.0,1216.0,,54.7,Stable,31.0
QAZ,3100101.0,3.0,2327.0,,54.7,Stable,24.9
QAZ,3100102.0,3.0,2738.0,,54.7,Stable,34.4
QAZ,3100103.0,3.0,2242.0,,54.7,Stable,48.9
QAZ,3100104.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100105.0,3.0,635.0,,54.7,Stable,31.6
QAZ,3100106.0,3.0,99999999.0,,54.7,Stable,36.5
QAZ,3100107.0,3.0,1994.0,,54.7,Stable,21.9
QAZ,3100108.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100109.0,3.0,1932.0,,54.7,Stable,24.9
QAZ,3100110.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100111.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100112.0,3.0,3359.0,,54.7,Stable,22.6
QAZ,3100113.0,3.0,1464.0,,54.7,Stable,27.3
QAZ,3100114.0,1.0,575.0,,54.7,Stable,24.9
QAZ,3100115.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100116.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100117.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100118.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100119.0,3.0,1028.0,,54.7,Stable,21.3
QAZ,3100120.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100121.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100122.0,3.0,1694.0,,54.7,Stable,39.2
QAZ,3100123.0,3.0,676.0,,54.7,Stable,39.4
QAZ,3100124.0,3.0,2235.0,,54.7,Stable,24.9
QAZ,3100125.0,3.0,532.0,,54.7,Stable,20.7
QAZ,3100126.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100127.0,3.0,1420.0,,54.7,Stable,48.9
QAZ,3100128.0,3.0,1438.0,,54.7,Stable,21.9
QAZ,3100129.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100130.0,3.0,2557.0,,54.7,Stable,36.9
QAZ,3100131.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100132.0,3.0,451.0,,54.7,Stable,32.2
QAZ,3100133.0,3.0,643.0,,54.7,Stable,27.3
QAZ,3100134.0,3.0,836.0,,54.7,Stable,23.8
QAZ,3100135.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100136.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100137.0,3.0,698.0,,54.7,Stable,32.2
QAZ,3100138.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100139.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100140.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100141.0,3.0,1948.0,,54.7,Stable,36.9
QAZ,3100142.0,3.0,1349.0,,54.7,Stable,20.7
QAZ,3100143.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100144.0,3.0,904.0,,54.7,Stable,31.6
QAZ,3100145.0,3.0,2480.0,,54.7,Stable,40.4
QAZ,3100146.0,3.0,1557.0,,54.7,Stable,21.3
QAZ,3100147.0,3.0,99999999.0,,54.7,Stable,28.1
QAZ,3100148.0,3.0,575.0,,54.7,Stable,32.2
QAZ,3100149.0,3.0,2656.0,,54.7,Stable,20.7
QAZ,3100150.0,3.0,3278.0,,54.7,Stable,32.8
QAZ,3100151.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100152.0,3.0,2023.0,,54.7,Stable,22.4
QAZ,3100153.0,3.0,4485.0,,54.7,Stable,21.9
QAZ,3100154.0,3.0,1671.0,,54.7,Stable,31.0
QAZ,3100155.0,3.0,2096.0,,54.7,Stable,23.2
QAZ,3100156.0,3.0,515.0,,54.7,Stable,34.1
QAZ,3100157.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100158.0,3.0,3186.0,,54.7,Stable,26.0
QAZ,3100159.0,3.0,996.0,,54.7,Stable,21.9
QAZ,3100160.0,3.0,1617.0,,54.7,Stable,31.6
QAZ,3100161.0,3.0,1450.0,,54.7,Stable,34.1
QAZ,3100162.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100163.0,3.0,2747.0,,54.7,Stable,34.1
QAZ,3100164.0,3.0,99999999.0,,54.7,Stable,24.9
QAZ,3100165.0,3.0,1972.0,,54.7,Stable,40.4
QAZ,3100166.0,3.0,2320.0,,54.7,Stable,25.7
