outcome,feature,feature_group,standardized_coef,abs_standardized_coef,permutation_importance,bivariate_correlation
school_risk_score,RATCMP1,digital_access,0.2529386037254902,0.2529386037254902,0.0005802978006268722,0.09530163297899068
school_risk_score,SCHAUTO,school_governance,0.21784001483871843,0.21784001483871843,0.030778738483026348,0.1347491590256576
school_risk_score,SC017Q10JA,digital_access,-0.15699473099795314,0.15699473099795314,0.0,-0.143924313902815
school_risk_score,EDUSHORT,school_resources,-0.14744112831504036,0.14744112831504036,8.193323207377201e-05,-0.11723217422279653
school_risk_score,student_tardy_mean,attendance,0.12876701946549465,0.12876701946549465,0.00024575180014181354,-0.01034169754251327
school_risk_score,TEACHBEHA,school_climate,-0.12816463412070533,0.12816463412070533,0.00034317662525742423,0.03168903302464724
school_risk_score,student_digital_efficacy_mean,digital,-0.059112329583758665,0.059112329583758665,3.48991298412038e-05,0.04829663610825286
school_risk_score,SC061Q05TA,school_climate,-0.022281522036201314,0.022281522036201314,4.366937112476599e-06,0.041904439513942134
school_risk_score,STAFFSHORT,school_resources,0.0,0.0,0.008385506949345367,-0.009763709229620379
within_school_gap,school_mean_escs,composition,6.345226616682834,6.345226616682834,0.1529386492889533,0.25280773533643824
within_school_gap,student_homework_mean,learning_time,-3.1287670865855755,3.1287670865855755,0.0247255760184923,-0.1856002457035529
within_school_gap,student_belong_mean,student_attitudes,2.695583106991679,2.695583106991679,0.013066511412980032,0.1535776893481265
within_school_gap,SCHAUTO,school_governance,-2.320197112470114,2.320197112470114,0.005574444702399007,0.016784376656029516
within_school_gap,PROPSUPP,support_staff,1.9400346918227582,1.9400346918227582,0.0027914100505358696,0.13940563338975623
within_school_gap,SC201Q01JA,leadership,1.819976452508658,1.819976452508658,0.00012204539191777997,0.03075651568770464
within_school_gap,NEGSCLIM,school_climate,1.7219016507103806,1.7219016507103806,0.006245467022388973,0.0792522235648911
within_school_gap,student_digital_efficacy_mean,digital,1.7042712045712578,1.7042712045712578,0.0014495337658913198,0.1547289285787988
within_school_gap,student_math_selfefficacy_mean,student_attitudes,1.548586276027987,1.548586276027987,0.01755104347605805,0.1482748333489968
within_school_gap,SC201Q03JA,leadership,-1.519314988863457,1.519314988863457,0.00035323616335365405,-0.07450013094614394
within_school_gap,ABGMATH,grouping_tracking,1.481949824326112,1.481949824326112,5.002028909688594e-05,0.02602481485635945
within_school_gap,student_expected_edu_mean,aspirations,-1.421918238282267,1.421918238282267,0.04567539437135635,-0.051650624945982486
within_school_gap,STAFFSHORT,school_resources,1.3975934418738436,1.3975934418738436,0.0013193680436654586,0.02008650470939028
within_school_gap,EDUSHORT,school_resources,-1.3952176294078167,1.3952176294078167,0.00046040951796428865,-0.09818825682133897
within_school_gap,STUBEHA,school_climate,1.3093071757274939,1.3093071757274939,0.00418744092424006,0.03617046352127572
within_school_gap,OPENCUL,school_climate,-1.1891333971510223,1.1891333971510223,0.00033452401709666013,-0.03666138010166194
within_school_gap,student_internet_problem_mean,digital_access,-0.9596649290543654,0.9596649290543654,0.0008385101525802297,-0.13666602032256317
within_school_gap,student_device_problem_mean,digital_access,-0.9046936127418103,0.9046936127418103,0.002285189867324444,-0.14088464047266927
within_school_gap,SC201Q04JA,leadership,0.8854806899940838,0.8854806899940838,5.835217816871907e-05,-0.03188655609298151
within_school_gap,student_subject_ict_use_mean,digital,0.8708122481165408,0.8708122481165408,0.002800221821552551,0.07570525809804089
