CNT,latest_year,latest_gap,latest_avg_math,latest_avg_read,latest_avg_science,avg_escs_recomputed,n_students_recomputed,q25_escs,q75_escs,n_timepoints,latest_gap_rank
PER,2022,88.41148196916924,395.76113894729156,412.6771309158132,412.6559827265971,-1.0634475529497613,1874,-1.8045453763225203,-0.2128262105384013,5,39
QUC,2015,88.1839255492589,501.3570877950417,528.5079199748517,530.8861890382113,0.2119656787498045,1624,-0.46899045520199245,0.9326372558942504,1,40
FIN,2022,88.16968586590201,488.40803313030545,495.4465409708868,515.9360369979181,0.2891979972261289,1917,-0.2783305277228747,0.9183387073661717,5,41
GRC,2022,87.82858164231146,437.96076509253476,446.79863433805303,448.95228806747696,-0.019621318057068005,1840,-0.7266619517664754,0.7731434129976777,5,42
BRA,2022,87.26616880644343,389.2869451686635,423.0273721178283,415.05235039069777,-0.8581373144777616,1904,-1.5381660341227206,-0.06443895929296013,5,43
LBN,2018,86.90652587507532,394.1522778737841,352.86894510208197,382.30298538419123,-0.59149190766318,1835,-1.3493961887465549,0.2534714567990379,2,44
ITA,2022,85.29386233681345,470.8188018920225,479.8526647736153,476.0879121661702,-0.017420367077395048,1904,-0.7073328252319859,0.7548961001627934,5,45
QUD,2015,84.64015828769004,378.7421462844239,410.7239314928404,403.12937441370667,-0.30394644958224687,1385,-0.9586777148258764,0.39970045766052376,1,46
VNM,2022,83.30649484265683,475.15543232561794,466.2096908558838,474.729223355707,-1.0846397297817019,1879,-1.9102578847807152,-0.10001493012738659,3,47
CRI,2018,83.25621235677858,408.35754332574874,435.5885265196099,422.0856801133317,-0.8058554372579242,1856,-1.8087376903254289,0.3092487738889238,4,48
EST,2022,81.90775872229858,514.2655603346002,515.1988480527383,530.4527881962615,0.22863181839226132,1843,-0.3406142186583221,0.8790150804091597,5,49
TUR,2022,81.4899214769004,446.8999277845979,449.12139976730015,468.5350493848834,-1.0731633422080307,1874,-1.9499709222360262,-0.2673873501664092,5,50
BRN,2022,80.68538502038405,455.64766840787024,446.162523190639,460.99453589125324,-0.11125956096072023,1905,-0.7793112052500031,0.6027755180752655,2,51
MKD,2022,80.59742960477854,392.07601975122856,360.8508594621142,382.8854861170611,-0.2277461717260765,1854,-0.9016765493824049,0.5197788206592955,3,52
NOR,2022,80.5396651060754,470.2570363394946,479.63891347786,480.6131401722046,0.5222253210198908,2000,-0.0116463433807568,1.1203180721274146,5,53
ESP,2022,80.22476812766189,483.3274392624749,484.9721776754249,494.0943992372044,0.014706959139397192,1976,-0.5936358187677667,0.803857196327612,5,54
JPN,2022,79.94515475762927,528.2886960884978,509.20654973584874,538.5360745981994,-0.01415673285921026,1855,-0.5081759291745688,0.5198866607513014,5,55
TTO,2015,79.60910886985187,420.9615982396161,432.0289217268963,428.7759536781616,-0.22717661971147501,1788,-0.8598460406356857,0.43462168587326044,2,56
QES,2015,79.23328537715429,491.570233270954,503.2317400405936,500.00124512538576,-0.4119004492814522,1979,-1.3359939432439965,0.552597870759344,1,57
QUE,2015,78.65522484988588,471.4774934283368,500.4400519106833,502.9585942514817,0.023088971667717118,1869,-0.6858504036035146,0.7722304336460365,1,58
IRL,2022,77.6727455470924,493.3494964661999,517.8962066512496,505.4840315289758,0.32919903180765075,2000,-0.24589963300184647,0.9831575205781375,5,59
QCI,2018,77.37204197090534,590.2849532355743,555.1545223855921,589.4946849664307,-0.6781982074521056,1932,-1.5200243524270396,0.16806011366098517,1,60
PAN,2022,77.11835267269765,362.36403040744744,399.4410855575972,394.9175580283969,-0.8216801802332915,1760,-1.6748246992350797,0.19817211319837327,3,61
ARG,2022,75.50244024714709,390.31849171560293,413.65453856367805,420.5224690978277,-0.7067405660344789,1924,-1.4782794050511077,0.1279303057503461,4,62
TUN,2015,75.40233252724272,369.43534660560556,361.6649404834797,388.6183182556374,-0.7920655999981383,1818,-1.5518248608491279,0.10748806711484406,3,63
LVA,2022,75.0091738396087,485.17292553979223,476.74653314278146,496.4009452118928,0.008296295073634842,1856,-0.6095850884547661,0.6727,5,64
COL,2022,74.44261583119578,383.67490001520997,411.1791352673199,412.44126433788426,-0.9722474357746801,1877,-1.728016420707894,-0.1470113648274774,5,65
SRB,2022,74.13949072562059,441.4006463028804,440.49998704301083,448.5811755958143,-0.18347905472799245,1853,-0.8115009847990677,0.48184895869470573,4,66
MLT,2022,72.458391360154,474.0070996929605,453.95580149082167,473.8782131486009,0.09755653240283116,1702,-0.5828630161169749,0.8638072962313739,4,67
HKG,2022,72.40099799589109,546.5467492733352,505.13016893893206,525.6017025483055,-0.35542871026934897,1839,-1.1147613190249583,0.5236236990987918,5,68
QRS,2012,72.19178215407157,484.77942341949216,483.25831964727433,481.2844527357469,59.59752779739928,1761,-0.66,0.49,1,69
ISL,2022,70.95585255229338,459.3664065990817,435.78535428689116,446.07442498718837,0.37231046513185706,1727,-0.1418849205983914,0.9704671535124912,5,70
MAR,2022,69.28247211497262,372.25371600279897,345.24799033670166,370.67699392417694,-1.5501336324409842,1873,-2.590034512587021,-0.5152656730696932,2,71
MNE,2022,68.64277255683197,407.3758583915927,407.9195690327504,404.94549545615934,-0.21808077637180315,1807,-0.8357024945454576,0.4461022884882128,5,72
DNK,2022,67.31922989459906,493.51814375144096,493.9337033010056,496.0246178195213,0.49075984276125373,1841,0.03773941511632469,1.0445,5,73
HRV,2022,65.78307474498928,466.5300491170407,479.36114721357905,486.00146768073256,-0.12479679767507595,1854,-0.7949729763930905,0.5633106939083585,5,74
PSE,2022,64.18305831277951,377.65831047593474,361.21863586615035,381.66382238849457,-0.7716043016147764,1875,-1.5365446429309206,0.06152495753976588,1,75
GEO,2022,63.73278237146337,398.8645850175862,382.3598395026633,391.3752063299383,-0.38225824280352894,1848,-1.0613995418348972,0.32963225804763296,4,76
CHL,2022,63.672132831711394,412.4349012133147,449.6323483205569,444.0294419721643,-0.37817946978870487,1843,-1.0822855313138053,0.3722785061983808,5,77
MEX,2022,63.381476469511995,401.8676816763283,425.32246943197015,417.1613857082729,-0.7884580658696888,1866,-1.7340910516008994,0.18862415722389497,5,78
PRY,2022,63.186710401864275,342.45455996717186,379.3457229546562,372.60015285340404,-1.19476525901553,1779,-2.23092259543497,-0.1145504895230971,1,79
RUS,2018,62.15194220114108,486.9202090729331,477.69589746474503,477.5332809334424,0.15037760509527312,1849,-0.3527535605033764,0.673,4,80
CAN,2022,61.54196180928278,523.642264530524,523.8890215829861,531.730460772449,0.4842301812268535,1973,0.032572564433662285,0.9957067168429021,5,81
BIH,2018,59.391117021549405,408.59202758271607,405.5522912379082,401.22499878740047,-0.5474384420063031,1843,-1.1287061185576914,-0.008119053193480455,1,82
LIE,2012,58.773768854868194,534.1762237632894,515.6951113933967,522.7468999170064,195.90636568818564,293,-0.27,1.0112748333333346,2,83
SLV,2022,56.06255091270231,350.2311657520647,376.9765960077185,382.62299805076094,-1.2697221640424772,1844,-2.1463525583737972,-0.3867879524937996,1,84
DOM,2022,55.94089361181881,347.0401799118653,363.7163793517922,368.51568745660285,-0.6120915984247336,1849,-1.2893036295569282,0.15710446562337263,3,85
ALB,2022,54.73305513278626,375.50680644503177,364.1058438893026,381.14901787962134,-0.631629514104814,1817,-1.443633732217695,0.21833943751209203,3,86
QAT,2022,54.454355912870994,409.37831987184654,410.0991670238017,425.44543475307825,0.12670917681112917,1896,-0.3783947742008575,0.7170506394240218,5,87
THA,2022,53.49816681625407,387.46027713003025,373.44377077400543,402.375246358171,-1.1004482085304894,1941,-1.9505506120777691,-0.17751444639308545,5,88
QAZ,2022,52.92884643083636,397.6392026029085,367.3696069011537,381.21385076266506,-0.47981862565168043,1857,-1.1421630413134163,0.24590135795683005,2,89
ARE,2022,52.500880930358846,419.97190020831204,398.19429417454364,419.7076994957746,0.303471629660288,1957,-0.08992789104285293,0.8027129448764068,5,90
QMR,2018,51.39376077882247,495.15795758299686,486.52834759906693,485.5206433833845,0.3359568023529873,1995,-0.10646056674331394,0.8031761938345161,1,91
MAC,2022,51.280847517174266,551.1574702698024,509.52399187658835,542.0069273078186,-0.44200994986189307,2000,-1.0923947490000008,0.22058046500000086,5,92
