CNT,first_year,last_year,first_gap,last_gap,n_timepoints,gap_volatility,annual_change,long_run_change,trend_evidence,trend_label,trend_rank
QAR,2015,2015,105.57004650279714,105.57004650279714,1,,,0.0,weak,Insufficient time points,68
KHM,2022,2022,42.50985171112302,42.50985171112302,1,,,0.0,weak,Insufficient time points,69
MUS,2009,2009,92.22264939423678,92.22264939423678,1,,,0.0,weak,Insufficient time points,70
PSE,2022,2022,64.18305831277951,64.18305831277951,1,,,0.0,weak,Insufficient time points,71
MNG,2022,2022,94.81401206502625,94.81401206502625,1,,,0.0,weak,Insufficient time points,72
PRY,2022,2022,63.186710401864275,63.186710401864275,1,,,0.0,weak,Insufficient time points,73
CAN,2009,2022,61.8424199444064,61.54196180928278,5,5.80939933065381,0.2729551785002816,-0.30045813512361974,strong,Stable,74
DOM,2015,2022,57.07990836375484,55.94089361181881,3,1.1150417444534306,-0.18405483723464658,-1.1390147519360312,strong,Stable,75
SGP,2009,2022,98.22158570906913,96.94205908024492,5,9.992110478798253,-0.7352461180196359,-1.2795266288242146,strong,Stable,76
LVA,2009,2022,76.4072734228908,75.0091738396087,5,5.733040429953582,0.02176388455997453,-1.3980995832820895,strong,Stable,77
HUN,2009,2022,120.25582042068697,118.22467737674225,5,2.627056839050486,-0.04307580862058415,-2.0311430439447236,strong,Stable,78
MNE,2009,2022,70.71152194888748,68.64277255683197,5,9.547824470033902,-0.2052799130818221,-2.0687493920555085,strong,Stable,79
GRC,2009,2022,90.38293191912453,87.82858164231146,5,3.936457929030647,-0.4185083068222034,-2.554350276813068,strong,Stable,80
ESP,2009,2022,82.83494115888982,80.22476812766189,5,8.379589014245065,0.08532902211924295,-2.61017303122793,strong,Stable,81
DNK,2009,2022,69.99029233588863,67.31922989459906,5,9.115550066621628,-0.9155645374411487,-2.671062441289564,strong,Stable,82
TTO,2009,2015,82.5597351606823,79.60910886985187,2,2.0864078589935056,-0.49177104847173797,-2.950626290830428,weak,Insufficient time points,83
GEO,2009,2022,66.91144202655187,63.73278237146337,4,11.289782137777692,-0.26181261878892315,-3.178659655088495,strong,Stable,84
USA,2009,2022,99.49630281958059,95.11517393804337,5,11.188670560334678,0.38325794451380063,-4.381128881537222,strong,Stable,85
RUS,2009,2018,66.70833173085691,62.15194220114108,4,9.579747237519733,-1.2222326807465815,-4.55638952971583,strong,Stable,86
SRB,2009,2022,79.33410369785804,74.13949072562059,4,9.656197623399043,-1.0045091464059461,-5.194612972237451,strong,Improving,87
BGR,2009,2022,124.89787856768385,119.38058725748539,5,11.890531589217195,-0.7135256810016777,-5.517291310198459,strong,Improving,88
BRA,2009,2022,94.10134791753973,87.26616880644343,5,10.537274653786598,0.39309561986104813,-6.835179111096295,strong,Improving,89
HRV,2009,2022,73.43568466164066,65.78307474498928,5,3.7410620118403655,-0.6708927805134841,-7.652609916651386,strong,Improving,90
COL,2009,2022,82.47990668972858,74.44261583119578,5,6.929251291320605,-0.6730247687205474,-8.0372908585328,strong,Improving,91
KSV,2015,2022,50.38446942645783,40.509639149018994,3,5.181054251611999,-1.4379085600428962,-9.874830277438832,strong,Improving,92
JOR,2009,2022,58.962814368333966,45.346800471124084,5,8.036081715695191,-0.7185141416852682,-13.616013897209882,strong,Improving,93
ALB,2009,2022,68.37285413683304,54.73305513278626,3,13.45827779090596,-1.3776513607509162,-13.639799004046779,strong,Improving,94
URY,2009,2022,107.31514469198828,91.95835205539947,5,10.19427270629188,-1.5987688856415294,-15.356792636588807,strong,Improving,95
THA,2009,2022,71.50692545926125,53.49816681625407,5,11.815104465010892,-0.34899827510868175,-18.008758643007184,strong,Improving,96
IDN,2009,2022,44.35044940072197,25.185068052186068,5,14.451612017286056,-1.2417778190507363,-19.165381348535902,strong,Improving,97
CHL,2009,2022,83.1790733182496,63.672132831711394,5,8.120204764120754,-0.9502889248959526,-19.506940486538213,strong,Improving,98
LIE,2009,2012,79.98786139165634,58.773768854868194,2,15.000628689481825,-7.0713641789293815,-21.214092536788144,weak,Insufficient time points,99
KAZ,2009,2022,66.29258639262247,44.927088705948336,4,14.842319047582963,-1.9892401595676166,-21.365497686674132,strong,Improving,100
ARG,2009,2022,97.15585659473118,75.50244024714709,4,16.931294122874803,-0.39687244690976997,-21.653416347584084,strong,Improving,101
SAU,2018,2022,69.98293615240442,47.78210594376145,2,15.698357588502597,-5.550207552160742,-22.20083020864297,weak,Insufficient time points,102
ARE,2009,2022,79.24223298912028,52.500880930358846,5,19.333018071438307,-0.8161911606716369,-26.741352058761436,strong,Improving,103
MEX,2009,2022,93.15609559583885,63.381476469511995,5,11.99486251115037,-1.6532196367518586,-29.774619126326854,strong,Improving,104
PER,2009,2022,119.91124467016175,88.41148196916924,5,12.418250369950808,-2.1518479370119348,-31.499762700992505,strong,Improving,105
TUR,2009,2022,116.02846500524623,81.4899214769004,5,20.314969837811475,-2.0145538300052412,-34.538543528345826,strong,Improving,106
PHL,2018,2022,80.59209457412322,45.057897671324156,2,25.126471593987237,-8.883549225699767,-35.53419690279907,weak,Insufficient time points,107
