CNT,YEAR,gap_recomputed,avg_math_recomputed,avg_read_recomputed,avg_science_recomputed,avg_escs_recomputed,n_students_recomputed,q25_escs,q75_escs
GEO,2009,66.91144202655187,388.89078837652903,382.74089625593604,382.7630581404857,295.0670695775265,1803,-0.9106624376052909,0.602894891775374
GEO,2015,88.96561445629055,406.95143134289384,403.8688385574841,413.7858836452696,-0.2876034448039871,1806,-0.9987984157235392,0.4353193954744216
GEO,2018,75.69293936118515,406.10478064138607,389.01700933571124,390.74659366804207,-0.31302918005602476,1819,-0.9947812204140789,0.4278556255236249
GEO,2022,63.73278237146337,398.8645850175862,382.3598395026633,391.3752063299383,-0.38225824280352894,1848,-1.0613995418348972,0.32963225804763296
GRC,2009,90.38293191912453,472.50001835563086,490.21678866746197,477.74625897931946,58.79422014410377,1798,-0.6537835605697342,0.9579
GRC,2012,96.4014109025959,459.1221478195266,484.2711154674867,473.08091482481,64.45064666132554,1794,-0.73,0.96
GRC,2015,86.59193649413027,456.4322838185542,470.1033715955967,458.00074041140897,0.030436280635740044,1807,-0.7403050107319276,0.8580795312117169
GRC,2018,87.8285967773802,460.62234459714193,467.16305476649086,460.0856353828813,0.0028576347091796013,1842,-0.7491796507455653,0.7996332976796563
GRC,2022,87.82858164231146,437.96076509253476,446.79863433805303,448.95228806747696,-0.019621318057068005,1840,-0.7266619517664754,0.7731434129976777
GTM,2022,49.58282411334784,342.5834931728391,370.64001035974036,370.0512004772897,-1.5614933415270957,1808,-2.618879772790555,-0.5251443100484751
HKG,2009,58.31302255041919,561.117415381467,535.8522197598768,553.0656094532583,25.80601795366167,1773,-1.4447500202911006,0.123
HKG,2012,56.58009489357255,563.8469694656882,547.0438075382065,556.6438033085302,272.17674990022135,1794,-1.5,0.1
HKG,2015,60.50601524796684,552.2451330680384,529.9602702253333,526.8005297867693,-0.5253266471466871,1811,-1.23633776631426,0.2086
HKG,2018,59.73729620831068,552.545448577909,529.417804392089,521.8605350633317,-0.4089402457377719,1828,-1.1996735364188338,0.41154683003890713
HKG,2022,72.40099799589109,546.5467492733352,505.13016893893206,525.6017025483055,-0.35542871026934897,1839,-1.1147613190249583,0.5236236990987918
HRV,2009,73.43568466164066,461.8728651728314,478.7991089225166,489.36581867876043,12.90438558728654,1800,-0.76533198274974,0.4813104329294855
HRV,2012,70.9628698820394,470.7626531568031,486.00812035961303,491.15287759531986,31.480370374154905,1797,-0.94,0.33
HRV,2015,69.05870433375043,463.8371232605481,487.45627908227493,475.04674010503976,-0.24657121519583455,1829,-0.8390764323248482,0.35833390386307323
HRV,2018,64.25052974597679,464.64325979645474,479.6430248747404,471.98881811336224,-0.19967298674613063,1858,-0.7823467635521157,0.4210020898080073
HRV,2022,65.78307474498928,466.5300491170407,479.36114721357905,486.00146768073256,-0.12479679767507595,1854,-0.7949729763930905,0.5633106939083585
HUN,2009,120.25582042068697,491.518243066445,495.134230613975,502.5836906621017,18.333494707610605,1789,-0.8206749271030084,0.5961267736483196
HUN,2012,113.48862735540786,475.4815472450432,488.9661402246717,493.30938739314723,96.71305391347663,1789,-0.9709613885355447,0.57
HUN,2015,118.34091327999676,482.5114875164979,473.65070946835135,481.26124705322957,-0.16075962207757635,1836,-0.9047431244435469,0.6938319784672137
HUN,2018,115.73638482625728,483.8806817398085,479.00829344766805,483.5311528318243,-0.10118423044937197,1822,-0.7835049280254809,0.6578448371964144
HUN,2022,118.22467737674225,475.66354685765816,475.85040353915895,489.0439172607304,-0.018853634707731326,1817,-0.7331482105227928,0.7777288567230259
IDN,2009,44.35044940072197,365.70860903023106,395.5447387598058,376.39638734026397,28.50759755456707,1848,-2.4608101907466726,-0.9072050689871546
IDN,2012,35.878386249478865,372.94217756052905,394.67127749131913,378.9310567493025,57.80805314695132,1882,-2.613061371425708,-1.07
IDN,2015,64.0767138803048,382.9809444439484,395.1584194901149,399.84134659452275,-1.8148272422029958,1884,-2.6190183594477094,-1.077208605798867
IDN,2018,37.030622323424495,371.13712807718855,364.90675555001053,390.38968243127283,-1.4621827346490426,1937,-2.3341057024014122,-0.6721433820722159
IDN,2022,25.185068052186068,360.5298894701561,355.2098974494338,379.0728498656762,-1.5356497576209305,1999,-2.265591211608825,-0.8397549539877317
IRL,2009,69.1792969021102,493.7150408715197,504.18285846594904,517.0891309612563,174.7934287374081,1795,-0.4361,0.834
IRL,2012,88.14383944043715,505.19471062194725,526.2422594986699,526.7778082023194,129.16446146561097,1834,-0.46,0.95
IRL,2015,80.34939249165842,503.9101977994353,520.7389331235728,503.50153800489284,0.20727056692031606,1837,-0.4396852494551969,0.8823174330621716
IRL,2018,70.55241248372437,500.20060777292014,518.9599817319879,497.9953469779583,0.13238627627739108,2000,-0.5077378124799182,0.7986621670691639
IRL,2022,77.6727455470924,493.3494964661999,517.8962066512496,505.4840315289758,0.32919903180765075,2000,-0.24589963300184647,0.9831575205781375
ISL,2009,51.50809202930827,509.7392766827627,502.65937031226736,498.66264679985164,132.97223128779854,1757,0.111,1.417401288659793
ISL,2012,46.79419745707793,493.90687657468396,484.638286876639,478.6291389426866,329.4672853608074,1744,0.23,1.47
ISL,2015,57.43303113384371,489.3823592489092,484.0373775321354,474.384489356203,0.7370386929849764,1722,0.25130128424999465,1.2879512986
ISL,2018,70.67679584815806,498.8923512895746,477.4706145017561,478.0262830483475,0.556408894743052,1714,0.057654427983089944,1.1378346740441603
ISL,2022,70.95585255229338,459.3664065990817,435.78535428689116,446.07442498718837,0.37231046513185706,1727,-0.1418849205983914,0.9704671535124912
ISR,2009,87.07592012956383,450.95472886822034,478.13650424744736,456.17542369900684,277.32700428926853,1874,-0.5420323270624315,0.6696043559026903
ISR,2012,97.46424370131285,467.6645979252369,485.253567668061,469.89721406824464,418.00889794982425,1814,-0.36,0.88
ISR,2015,99.45671451898556,469.55286136068753,476.38880460747606,465.79534507721263,0.1649447839595924,2000,-0.36326545481236155,0.7799774057605997
ISR,2018,96.32951638918877,465.9647436607974,473.0133926055318,463.4981706961957,0.34329006805797624,2000,-0.2833809955620189,1.0202773511669516
ISR,2022,125.6612715778395,461.69438440401103,476.809477173002,467.73070343824776,0.29139166860233384,2000,-0.30803683956535927,0.9762
ITA,2009,40.2617864142473,458.191258108398,460.75732035519366,465.315907639506,40.488987576586254,1990,-0.8411896201633882,0.5666588852659009
ITA,2012,75.29103023761701,483.0682286461432,487.6815546804621,493.46706593711315,99.27704374844457,1983,-0.67,0.9
ITA,2015,85.92890910748804,495.0045845166235,488.5819567656416,488.06724556072913,0.0009787768108937608,1913,-0.6733432595751275,0.787151074171629
ITA,2018,88.17337459974163,491.45642428315153,478.8708100271694,471.62442961018013,-0.09905036583877197,1908,-0.7902193698980087,0.6499899253044022
ITA,2022,85.29386233681345,470.8188018920225,479.8526647736153,476.0879121661702,-0.017420367077395048,1904,-0.7073328252319859,0.7548961001627934
JAM,2022,45.094160935588775,381.3246612947851,415.7511246612536,409.15868206848353,-0.5430564969684958,1745,-1.1596764554559034,0.12927989823372488
JOR,2009,58.962814368333966,397.4660111940353,412.259064610835,425.0681961344201,91.39957395789519,1878,-1.1980149063302774,0.344
JOR,2012,56.93047588373696,396.7637974765035,409.86369406437547,420.04327879598304,182.970844602304,1877,-1.01,0.41715109279430906
JOR,2015,65.90024306010747,382.05994825026966,409.5374879297723,411.34090197207496,-0.3867264487023609,1855,-1.0507392299720346,0.3593217301625443
JOR,2018,63.82340126955751,401.7860831291815,419.8241171314586,429.9989391792678,-0.6216790766317475,1893,-1.4086295206602861,0.24287957750542696
JOR,2022,45.346800471124084,371.08251494879244,354.8895054469737,386.3977779216121,-0.7739346203683091,1980,-1.5993001779566403,0.0627
JPN,2009,73.19998208212837,522.5692046917839,515.0445071256818,534.1797180319505,158.55642960834993,1834,-0.5598,0.5301379400863203
JPN,2012,63.71907194998181,531.3443793971845,533.411224630873,542.3287252986637,280.034084615124,2000,-0.61,0.53
JPN,2015,79.55517963469953,526.0080106660164,509.0715488767009,529.8943181598295,-0.21101480966314562,1900,-0.7372594502009582,0.3359116474772306
JPN,2018,66.08037803042686,520.492043838574,495.4548969662188,520.0836251181303,-0.09894110183011616,1869,-0.6136200798042017,0.43595188164830745
JPN,2022,79.94515475762927,528.2886960884978,509.20654973584874,538.5360745981994,-0.01415673285921026,1855,-0.5081759291745688,0.5198866607513014
KAZ,2009,66.29258639262247,409.6926676097668,396.3402480691278,405.02888236172964,25.841449820093725,1837,-1.0763,0.1524
KAZ,2012,55.38369851759825,430.677136919553,391.9003404012213,421.93366321590895,1.6229615709197993,1835,-0.87,0.3
KAZ,2018,31.517603627403957,411.9091218311523,381.78596486909055,390.57278600576365,-0.38040666553429,1987,-1.0194415843181386,0.2786230068857646
KAZ,2022,44.927088705948336,415.266265716607,382.32460253117983,418.02548526189173,-0.3311506237269078,1996,-0.9374184728792287,0.33706327531808467
KGZ,2009,88.57916715581166,337.92807186969816,321.9654691343302,336.43069545400925,82.55535492887778,1804,-1.2769256848173343,0.2222
KHM,2022,42.50985171112302,344.5684887641056,333.15500491351617,350.9345689715559,-1.8001441758964865,1851,-2.885098636843671,-0.8118326204157394
KOR,2009,81.40437816552793,548.1125103210331,542.5330083414433,539.7945116987345,16.6874711197866,1865,-0.7234030345029362,0.4334
KOR,2012,70.10182397092899,561.0423886315785,542.8981507559049,543.6912904372319,26.586516986853905,1890,-0.53,0.607084220379176
KOR,2015,99.36129463484679,527.6960696454564,524.2428481231149,522.0064781528175,-0.18491404908840386,1850,-0.6788498115659557,0.3071021357352753
KOR,2018,95.65259691172758,533.4273400849378,520.1744311661242,525.8246261382417,0.11095279159724264,1853,-0.38302853834227535,0.6698807396115395
KOR,2022,107.62907948361038,536.6512368602822,519.1161604393362,536.1849565695392,0.29458834905298686,1910,-0.2814051716417174,0.9194357580457371
KSV,2015,50.38446942645783,368.78521045921195,352.76698577006067,383.53098819282684,-0.08258939397406567,1815,-0.7219630949863068,0.6153300009984657
KSV,2018,48.166569817805,367.95452261517715,355.4435871241279,366.3800064563048,-0.42302657117778325,1812,-1.0414281106146253,0.2382047173573928
KSV,2022,40.509639149018994,358.40744441830543,345.69684601015916,360.5396946521915,-0.295379462014582,1839,-0.9020764559626236,0.37156505004896123
LBN,2015,66.86021944596058,395.3823471126919,346.56033539971565,385.4918026175494,-0.6106883469297518,1766,-1.25529859670152,0.1434820618637841
LBN,2018,86.90652587507532,394.1522778737841,352.86894510208197,382.30298538419123,-0.59149190766318,1835,-1.3493961887465549,0.2534714567990379
LIE,2009,79.98786139165634,533.6882708621013,498.4257265840627,518.5017726624062,85.95963542386745,329,-0.5685242730545537,0.8061501980019806
LIE,2012,58.773768854868194,534.1762237632894,515.6951113933967,522.7468999170064,195.90636568818564,293,-0.27,1.0112748333333346
LTU,2009,86.99485978991379,476.97510815999095,469.49206575069724,492.51098121291136,106.59971233761318,1836,-0.7892183742739622,0.7576
LTU,2012,85.82784322326955,477.12321291902526,474.424555353944,493.5561905259064,81.05863027418147,1782,-0.9,0.68
LTU,2015,80.26710782152486,483.8634930981773,478.2124165446447,481.65466504612505,0.0009205109970945556,1838,-0.6465,0.7054641568315428
LTU,2018,95.57452932970904,491.9163103913885,486.7477056574462,491.8318394875114,0.11488753740879756,1853,-0.5669827302358718,0.83745924282855
LTU,2022,109.02520811085122,484.087084891712,479.72078974298637,492.7341343076873,0.15432606970150287,1852,-0.5275428118303411,0.8781352471505876
LUX,2009,104.61980410330125,488.3290699780236,473.4575637660632,484.3166029142818,164.1276522016795,1788,-0.5053690835376196,1.0873992024933519
LUX,2012,98.53996948062803,490.2900196706866,490.2315513970019,492.7874224536814,253.69105420128824,1807,-0.66,1.12
LUX,2015,127.43441168745619,488.6830036040059,486.2036950731959,486.9737320581324,0.15406238589631685,1802,-0.6502242985000046,1.088182683041994
LUX,2018,118.43763106271462,482.1622989893733,470.6539306443449,477.1858400010556,0.08165879393670301,1808,-0.7541259415338287,1.0062264104362098
LVA,2009,76.4072734228908,480.53475242425736,483.7118835046471,492.020435733522,27.936834426957457,1799,-0.821760090773704,0.6076912263681894
LVA,2012,71.30707897419205,491.5134448052839,489.1367837947917,505.0944473678324,164.94347005041917,1788,-0.9805838973458667,0.52
LVA,2015,62.00311204687688,481.85358276574885,487.8340677915048,490.09705991976904,-0.4297985385299532,1830,-1.2162442788509706,0.33156590462668173
